SSID,MatchID,PlayerID,PlayerName,Runs,BallFaced,StrikeRate,6s,Against,Venue,MatchDate
SSID0126,M022,TP0204,Glenn Maxwell,26,11,236.36,2,CSK,DY Patil Stadium,12-Apr-22
SSID0127,M073,TP0204,Glenn Maxwell,24,13,184.61,2,RR,Narendra Modi Stadium,27-May-22
SSID0128,M060,TP0204,Glenn Maxwell,35,22,159.09,1,PK,Brabourne,13-May-22
SSID0129,M072,TP0204,Glenn Maxwell,9,10,90,1,LSG,Eden Gardens,25-May-22
SSID0130,M031,TP0204,Glenn Maxwell,23,11,209.09,1,LSG,DY Patil Stadium,19-Apr-22
SSID0131,M024,TP0056,Hardik Pandya,87,52,167.3,4,RR,DY Patil Stadium,14-Apr-22
SSID0132,M067,TP0056,Hardik Pandya,62,47,131.91,3,RCB,Wankhede Stadium,19-May-22
SSID0133,M035,TP0056,Hardik Pandya,67,49,136.73,2,KKR,DY Patil Stadium,23-Apr-22
SSID0134,M004,TP0056,Hardik Pandya,33,28,117.85,1,LSG,Wankhede Stadium,28-Mar-22
SSID0135,M021,TP0056,Hardik Pandya,50,42,119.04,1,SRH,DY Patil Stadium,11-Apr-22
SSID0136,M074,TP0056,Hardik Pandya,34,30,113.33,1,RR,Narendra Modi Stadium,29-May-22
SSID0137,M008,TP0152,Harpreet Brar,14,18,77.77,1,KKR,Wankhede Stadium,1-Apr-22
SSID0138,M060,TP0152,Harpreet Brar,7,5,140,1,RCB,Brabourne,13-May-22
SSID0139,M039,TP0205,Harshal Patel,8,11,72.72,1,RR,Maharashtra Cricket Association Stadium,26-Apr-22
SSID0140,M013,TP0205,Harshal Patel,9,4,225,1,RR,Wankhede Stadium,5-Apr-22
SSID0141,M069,TP0128,Ishan Kishan,48,35,137.14,4,DC,Wankhede Stadium,21-May-22
SSID0142,M002,TP0128,Ishan Kishan,81,48,168.75,2,DC,Brabourne,27-Mar-22
SSID0143,M056,TP0128,Ishan Kishan,51,43,118.6,1,KKR,DY Patil Stadium,9-May-22
SSID0144,M051,TP0128,Ishan Kishan,45,29,155.17,1,GT,Brabourne,6-May-22
SSID0145,M009,TP0128,Ishan Kishan,54,43,125.58,1,RR,DY Patil Stadium,2-Apr-22
SSID0146,M065,TP0128,Ishan Kishan,43,34,126.47,1,SRH,Wankhede Stadium,17-May-22
SSID0147,M043,TP0128,Ishan Kishan,26,18,144.44,1,RR,DY Patil Stadium,30-Apr-22
SSID0148,M062,TP0003,C Hari Nishaanth,39,33,118.18,1,GT,Wankhede Stadium,15-May-22
SSID0149,M031,TP0107,Jason Holder,16,9,177.77,2,RCB,DY Patil Stadium,19-Apr-22
